Time,Temp_305083,Temp_307075,Temp_605083,Temp_607075
2.035,298.0023,298.0026,298.0025,298.0028
2.0351,298.4503,298.7049,298.3793,298.6281
2.0352,299.4114,300.1822,299.1799,299.9394
2.0353,300.7414,302.2289,300.316,301.7678
2.0354,302.5584,305.0315,301.9306,304.2865
2.0355,304.83,308.5364,303.9955,307.4465
2.0356,307.6013,312.8219,306.5553,311.3296
2.0357,310.8464,317.8429,309.5972,315.9011
2.0358,314.5111,323.5268,313.0893,321.0953
2.0359,318.694,330.031,317.1161,327.0925
2.036,323.3906,337.1081,321.6899,333.8773
2.0361,328.4681,343.971,326.7015,340.5517
2.0362,333.9869,350.8739,332.2079,347.21
2.0363,339.8554,358.3353,338.0648,354.1957
2.0364,345.9326,366.1239,344.045,361.4065
2.0365,352.3749,374.484,350.3307,369.1836
2.0366,359.2234,383.4012,357.0981,377.6567
2.0367,366.1996,392.5893,364.159,386.502
2.0368,373.4211,402.3463,371.6525,395.8596
2.0369,380.8886,412.5069,379.5604,405.8075
2.037,388.6012,423.118,387.8311,416.1194
2.0371,396.6263,434.2681,396.5728,426.9669
2.0372,404.8889,445.7932,405.6795,438.1911
2.0373,413.395,457.7071,415.1986,449.997
2.0374,422.1163,470.0226,425.0874,462.1183
2.0375,431.0813,482.7168,435.3312,474.4175
2.0376,440.371,495.9434,446.0318,487.3045
2.0377,449.8484,509.5454,457.1362,500.0453
2.0378,459.4598,523.3584,468.5126,512.6483
2.0379,469.3759,537.6535,480.3172,524.4494
2.038,479.5463,552.3821,492.5539,540.7882
2.0381,489.8088,567.2468,505.0654,553.5771
2.0382,500.4045,582.6123,518.0193,568.6273
2.0383,511.2234,598.3627,531.355,584.3533
2.0384,522.0957,614.2431,544.9167,605.1057
2.0385,533.1357,630.439,558.9371,624.2105
2.0386,544.3202,646.9751,573.3814,643.0546
2.0387,555.6509,663.7625,588.1779,661.4071
2.0388,567.1702,680.8432,603.3737,679.0164
2.0389,578.7114,698.0706,618.8283,696.6235
2.039,590.2072,715.2653,634.4358,713.7347
2.0391,601.7256,732.4084,650.2051,729.96
2.0392,613.274,749.5223,666.2161,746.3317
2.0393,624.8429,766.9778,682.4687,762.8466
2.0394,636.497,784.5571,698.8906,778.7975
2.0395,647.9476,801.7485,715.2344,794.2898
2.0396,659.2613,818.333,731.5142,809.4669
2.0397,670.5232,834.5235,747.7881,824.9199
2.0398,681.5383,850.4355,763.7331,839.6738
2.0399,692.5175,864.0105,779.5958,854.4228
2.04,703.4435,871.5043,794.0523,868.7861
2.0401,714.1605,880.1353,809.3562,883.8903
2.0402,724.5496,890.6896,822.935,899.3229
2.0403,734.8074,903.5972,834.9203,912.4614
2.0404,745.0049,915.9446,849.141,923.1532
2.0405,754.7804,928.3831,863.3022,934.9967
2.0406,764.2801,945.6128,876.9585,955.7925
2.0407,773.5906,970.8949,890.332,982.2663
2.0408,782.668,998.0844,902.6306,1010.8610000000001
2.0409,791.4299,1021.706,912.6117,1042.8039999999999
2.041,799.7078,1044.983,920.4239,1078.021
2.0411,807.8161,1071.986,929.4629,1114.336
2.0412,815.1666,1100.4,939.877,1149.848
2.0413,822.0193,1128.5919999999999,957.4602,1187.162
2.0414,828.5776,1156.8310000000001,978.3671,1226.74
2.0415,834.73,1184.937,1001.029,1265.309
2.0416,840.4749,1213.42,1024.953,1302.138
2.0417,845.6957,1241.383,1050.621,1338.75
2.0418,850.512,1266.197,1077.269,1373.524
2.0419,854.824,1291.424,1104.489,1407.375
2.042,858.9107,1317.1970000000001,1132.226,1440.59
2.0421,862.6615,1340.1629999999998,1158.695,1473.155
2.0422,866.2786,1360.2979999999998,1185.9569999999999,1504.1070000000002
2.0423,869.4283,1378.955,1212.287,1532.6860000000001
2.0424,872.1798,1397.864,1237.258,1560.1229999999998
2.0425,874.5957,1416.1589999999999,1260.192,1586.662
2.0426,876.6061,1432.106,1281.86,1611.142
2.0427,878.4746,1446.621,1302.5430000000001,1633.4370000000001
2.0428,879.9769,1458.9720000000002,1321.9370000000001,1650.1570000000002
2.0429,881.0456,1469.254,1339.4720000000002,1663.911
2.043,881.841,1478.987,1356.3129999999999,1679.0929999999998
2.0431,882.3921,1486.9,1371.601,1692.884
2.0432,882.4719,1493.217,1385.8929999999998,1705.069
2.0433,882.2364,1498.773,1399.891,1716.999
2.0434,881.7094,1502.4129999999998,1412.376,1728.46
2.0435,880.7407,1504.45,1423.098,1738.06
2.0436,879.417,1505.158,1432.352,1745.876
2.0437,877.8613,1503.775,1440.5629999999999,1752.372
2.0438,876.0493,1499.5710000000001,1447.501,1757.2910000000002
2.0439,874.1184,1493.744,1452.983,1760.641
2.044,872.1877,1486.925,1456.921,1762.619
2.0441,869.9388,1479.161,1459.339,1762.999
2.0442,867.6462,1472.391,1460.661,1762.035
2.0443,865.2608,1465.3339999999998,1460.806,1759.71
2.0444,862.8931,1457.612,1459.7479999999998,1756.085
2.0445,860.1438,1449.21,1457.703,1751.395
2.0446,857.7571,1439.6689999999999,1454.455,1745.5810000000001
2.0447,855.5228,1429.299,1450.486,1739.0
2.0448,853.2423,1418.793,1445.611,1731.496
2.0449,851.3052,1408.5729999999999,1439.777,1722.981
2.045,849.3421,1398.979,1433.328,1713.713
2.0451,846.9368,1389.559,1426.257,1703.7379999999998
2.0452,844.1527,1380.0770000000002,1418.556,1693.575
2.0453,841.2176,1371.0929999999998,1410.266,1683.808
2.0454,838.3304,1362.135,1401.276,1673.933
2.0455,835.3479,1353.146,1392.1129999999998,1663.805
2.0456,832.3832,1343.999,1383.285,1653.6870000000001
2.0457,829.5326,1334.4379999999999,1374.931,1643.001
2.0458,826.6004,1324.6779999999999,1366.995,1631.995
2.0459,823.4436,1314.7620000000002,1359.34,1620.523
2.046,820.1041,1304.53,1351.4279999999999,1608.58
2.0461,816.5781,1294.0739999999998,1343.3370000000002,1596.3239999999998
2.0462,812.8872,1283.423,1334.973,1583.85
2.0463,809.0616,1272.641,1326.389,1571.48
2.0464,804.9712,1261.754,1317.475,1559.3929999999998
2.0465,799.8432,1250.829,1308.3010000000002,1547.0539999999999
2.0466,793.861,1239.825,1298.893,1534.2
2.0467,788.3545,1228.777,1289.257,1521.146
2.0468,783.2765,1217.752,1279.463,1507.9520000000002
2.0469,778.3344,1206.745,1269.514,1494.642
2.047,773.269,1195.812,1259.473,1481.253
2.0471,767.8709,1185.003,1249.363,1467.849
2.0472,762.6687,1174.412,1239.178,1454.4379999999999
2.0473,757.8551,1164.303,1228.944,1441.036
2.0474,753.0453,1154.412,1218.701,1427.6870000000001
2.0475,748.363,1144.396,1208.513,1414.4720000000002
2.0476,743.741,1134.415,1198.391,1401.391
2.0477,739.1962,1124.493,1188.364,1388.4920000000002
2.0478,734.7193,1114.694,1178.539,1375.9520000000002
2.0479,730.257,1105.0339999999999,1169.164,1364.219
2.048,725.8488,1095.528,1160.255,1352.965
2.0481,721.5214,1086.195,1151.376,1341.547
2.0482,717.4822,1077.108,1142.4260000000002,1330.1
2.0483,713.5286,1068.2269999999999,1133.598,1318.7420000000002
2.0484,709.5195,1059.548,1124.851,1307.486
2.0485,705.545,1051.094,1116.224,1296.381
2.0486,701.5343,1042.868,1107.732,1285.4389999999999
2.0487,697.5561,1034.888,1099.397,1274.685
2.0488,693.6555,1027.15,1091.221,1264.126
2.0489,689.8566,1019.671,1083.223,1253.789
2.049,686.1535,1012.456,1075.411,1243.6680000000001
2.0491,682.5246,1005.5219999999999,1067.797,1233.77
2.0492,678.9744,998.8731,1060.384,1224.108
